checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0<=X<200,48,existing paid,radio/tv,10155.34203,<100,4<=X<7,2.738949803,male div/sep,none,3.159299869,life insurance,33.53544915,stores,for free,2.159299869,skilled,1.579649934,yes,yes,bad
0<=X<200,19.06006543,critical/order existing credit,other,1218.881629,100<=X<500,<1,2.765016357,male mar/wid,none,2.765016357,no known property,41.29328971,bank,own,2,skilled,1.588338786,none,yes,bad
<0,14.86316232,existing paid,new car,903.5789529,no known savings,1<=X<4,4,male div/sep,none,2,car,24.43158116,bank,own,1,skilled,1,none,yes,bad
<0,18,existing paid,new car,1216,<100,<1,4,female div/dep/mar,none,3,car,23,stores,rent,1,skilled,1,yes,yes,bad
<0,18,critical/order existing credit,repairs,1190,<100,unemployed,2,female div/dep/mar,none,4,no known property,55,stores,for free,3,unemp/unskilled non res,2,none,yes,bad
0<=X<200,11.82640831,existing paid,radio/tv,1109.620189,<100,4<=X<7,4,male single,none,3,no known property,28.23145559,stores,for free,2,skilled,1.057863898,none,yes,bad
0<=X<200,35.87726759,critical/order existing credit,other,4919.884524,<100,1<=X<4,2.208182161,male single,guarantor,2.416364321,no known property,30.82910049,stores,for free,2,skilled,1.208182161,none,yes,bad
no checking,26.24741842,delayed previously,new car,2561.972463,<100,1<=X<4,3.250860527,female div/dep/mar,none,3.250860527,no known property,27.52237371,stores,own,1.250860527,skilled,1.250860527,none,yes,bad
>=200,45.60809893,critical/order existing credit,retraining,11644.21642,100<=X<500,1<=X<4,1.867116607,female div/dep/mar,none,3.601349822,car,25.32883393,bank,own,1.867116607,NA,1,none,yes,bad
no checking,24,delayed previously,new car,2538,<100,>=7,4,male single,none,4,car,47,stores,own,2,unskilled resident,2,none,yes,bad
0<=X<200,24,delayed previously,furniture/equipment,2057.477659,<100,>=7,2.478212753,female div/dep/mar,none,1.739106377,life insurance,30.86927652,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,18,critical/order existing credit,NA,1530,<100,1<=X<4,3,male single,none,2,life insurance,32,bank,own,2,skilled,1,none,yes,bad
<0,36,existing paid,furniture/equipment,2712,<100,>=7,2,male single,none,2,life insurance,41,bank,own,1,skilled,2,none,yes,bad
0<=X<200,38.51040543,existing paid,radio/tv,7460.700672,<100,<1,2.465028959,male div/sep,none,3.023314027,life insurance,37.81473937,stores,for free,1,high qualif/self emp/mgmt,1.511657014,none,yes,bad
<0,18,existing paid,furniture/equipment,4153,<100,1<=X<4,2,NA,co applicant,3,car,42,stores,own,1,skilled,1,none,yes,bad
<0,9.583668494,all paid,business,538.1209425,<100,<1,4,female div/dep/mar,none,1.402721918,no known property,25.19455616,bank,own,1,skilled,1.402721918,none,NA,bad
<0,40,critical/order existing credit,education,5998,<100,1<=X<4,4,male single,none,3,no known property,27,bank,own,1,skilled,1,NA,yes,bad
0<=X<200,36.91440456,no credits/all paid,other,3807.048015,500<=X<10000,1<=X<4,4,female div/dep/mar,none,1.228601139,car,41.39039696,stores,for free,1,skilled,1.07620038,none,yes,bad
0<=X<200,12,delayed previously,new car,833.0609966,100<=X<500,<1,4,female div/dep/mar,none,2.07535906,life insurance,23.7535906,bank,own,1,unskilled resident,1.07535906,none,yes,bad
no checking,24,existing paid,radio/tv,5943,no known savings,<1,1,female div/dep/mar,none,1,car,44,stores,own,2,skilled,1,yes,yes,bad
0<=X<200,34.78688265,existing paid,furniture/equipment,3095.23498,<100,4<=X<7,2.53187585,male div/sep,none,4,life insurance,30.20218623,stores,own,1.265937925,unemp/unskilled non res,1,none,yes,bad
no checking,36,delayed previously,radio/tv,4463,<100,1<=X<4,4,NA,none,2,car,26,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
0<=X<200,35.87651127,critical/order existing credit,new car,1841.524385,<100,1<=X<4,4,male div/sep,none,4,no known property,27.77897029,bank,for free,1,skilled,1,none,yes,bad
<0,NA,existing paid,new car,1840.575302,<100,4<=X<7,3.796471776,female div/dep/mar,none,3.592943551,car,32.16824598,stores,own,1.203528224,skilled,1,yes,yes,bad
no checking,48,existing paid,business,4844,<100,unemployed,3,male single,none,2,car,33,bank,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad
<0,16.59827902,all paid,furniture/equipment,1195.056034,<100,>=7,2.233620163,female div/dep/mar,co applicant,4,no known property,31.46724033,stores,own,1.588793279,skilled,1,none,yes,bad
<0,21.69638379,existing paid,furniture/equipment,1282.440426,no known savings,1<=X<4,4,female div/dep/mar,none,3.488085286,life insurance,29.95234114,stores,rent,1,skilled,1,none,yes,bad
<0,24,delayed previously,new car,4870,<100,1<=X<4,3,male single,none,4,no known property,53,stores,for free,2,skilled,2,none,yes,bad
<0,18.47252938,critical/order existing credit,new car,4857.563191,<100,4<=X<7,3,male single,guarantor,4,life insurance,48.39377448,stores,for free,2,skilled,1.539377448,none,yes,bad
<0,24,all paid,new car,1193,<100,unemployed,1,female div/dep/mar,co applicant,4,no known property,29,stores,rent,2,unemp/unskilled non res,1,none,yes,bad
<0,24,delayed previously,new car,1366.992287,no known savings,1<=X<4,4,female div/dep/mar,none,3.691714397,no known property,29.62428404,stores,own,1,high qualif/self emp/mgmt,1,none,yes,bad
0<=X<200,51.9198149,delayed previously,domestic appliance,15381.28039,500<=X<10000,1<=X<4,2.326651242,male mar/wid,none,2.653302484,car,35.08609595,bank,for free,1.326651242,high qualif/self emp/mgmt,1,yes,yes,bad
0<=X<200,12,NA,NA,690.5473927,<100,<1,3.849130906,male mar/wid,none,3,car,34.24565453,bank,own,1.924565453,skilled,1,none,yes,bad
<0,22.63552445,existing paid,radio/tv,2317.91009,<100,4<=X<7,2.727192805,female div/dep/mar,none,3.363596403,life insurance,27.18157842,stores,own,1,unemp/unskilled non res,1,none,yes,bad
0<=X<200,9.534628089,critical/order existing credit,education,1506.880909,<100,<1,1.821790637,female div/dep/mar,none,2.643581274,car,NA,stores,own,1.821790637,high qualif/self emp/mgmt,1,none,yes,bad
0<=X<200,12,existing paid,radio/tv,6468,no known savings,unemployed,2,male single,none,1,no known property,52,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
<0,24,delayed previously,new car,1376.013391,no known savings,1<=X<4,NA,female div/dep/mar,none,2.216809107,car,36.08404553,stores,own,1,high qualif/self emp/mgmt,1,none,yes,bad
<0,30,existing paid,furniture/equipment,3108,<100,<1,2,male div/sep,none,4,life insurance,31,stores,own,1,unskilled resident,1,none,yes,bad
<0,12,existing paid,radio/tv,727,100<=X<500,<1,4,male mar/wid,none,3,no known property,33,stores,own,1,unskilled resident,1,yes,yes,bad
<0,9,existing paid,new car,654,<100,1<=X<4,4,male single,none,3,car,28,stores,NA,1,unskilled resident,1,none,yes,bad
<0,48,no credits/all paid,furniture/equipment,7119,<100,1<=X<4,3,male single,none,4,no known property,53,stores,for free,2,skilled,2,none,yes,bad
no checking,36,critical/order existing credit,new car,7855,<100,1<=X<4,4,female div/dep/mar,none,2,NA,25,,own,2,skilled,1,yes,yes,bad
0<=X<200,6,existing paid,new car,14555,no known savings,unemployed,1,male single,none,2,life insurance,23,stores,own,1,unemp/unskilled non res,1,yes,yes,bad
<0,12,existing paid,new car,1372,<100,4<=X<7,2,male div/sep,none,3,car,36,stores,own,1,skilled,1,none,yes,bad
<0,18,critical/order existing credit,furniture/equipment,2124,<100,1<=X<4,4,female div/dep/mar,none,4,real estate,24,stores,rent,2,skilled,1,none,yes,bad
no checking,18,delayed previously,business,NA,<100,1<=X<4,4,male mar/wid,none,2,car,28,stores,own,1,skilled,1,yes,yes,bad
0<=X<200,24.67045386,all paid,education,1837.279356,<100,4<=X<7,4,female div/dep/mar,none,4,life insurance,34,bank,for free,1,unemp/unskilled non res,1,none,NA,bad
0<=X<200,13.86681334,existing paid,furniture/equipment,950.3777289,500<=X<10000,<1,NA,male div/sep,none,3.377728886,car,30.73362668,bank,rent,2.755457772,skilled,1.622271114,none,yes,bad
0<=X<200,14.37990961,critical/order existing credit,new car,1541.53638,<100,4<=X<7,2.189954806,male mar/wid,none,1.793303204,life insurance,31.32968364,bank,own,1,skilled,1,none,yes,bad
0<=X<200,20.6535464,delayed previously,furniture/equipment,1216.557742,500<=X<10000,1<=X<4,4,male mar/wid,none,3.442257734,no known property,43.01968039,bank,own,1.442257734,unemp/unskilled non res,1.442257734,none,yes,bad
<0,23.36153175,existing paid,furniture/equipment,1284.290591,no known savings,1<=X<4,4,female div/dep/mar,none,3.858118166,life insurance,31.43247266,stores,rent,1,skilled,1,none,yes,bad
<0,24,all paid,new car,1357.289241,no known savings,<1,4,male single,none,2.949231469,NA,39.84769441,stores,own,1.050768531,high qualif/self emp/mgmt,1.050768531,none,yes,bad
<0,36,delayed previously,business,2145,<100,4<=X<7,2,male single,none,1,car,24,stores,own,2,skilled,1,yes,yes,bad
0<=X<200,24.35066819,existing paid,business,4242.558525,500<=X<10000,1<=X<4,1,male mar/wid,none,4,no known property,35.49347928,stores,own,2.961036868,unemp/unskilled non res,1,none,yes,bad
0<=X<200,45,critical/order existing credit,radio/tv,4746,<100,<1,4,male single,none,2,life insurance,25,stores,own,2,unskilled resident,1,none,yes,bad
NA,18.63469642,delayed previously,domestic appliance,1215.095911,<100,1<=X<4,4,male mar/wid,none,3.105782737,no known property,48.37517558,stores,own,1.105782737,unskilled resident,1,none,yes,bad
0<=X<200,24,critical/order existing credit,furniture/equipment,4736,<100,<1,2,female div/dep/mar,none,4,car,25,bank,own,1,unskilled resident,1,none,yes,bad
<0,15.28323561,existing paid,radio/tv,6128.95764,<100,1<=X<4,3.179191098,male mar/wid,none,1.726397033,car,32.37764748,stores,own,2,skilled,1,yes,yes,bad
0<=X<200,24,critical/order existing credit,new car,1356.862417,>=1000,<1,3.620805684,male div/sep,none,3.379194316,car,34.31208527,stores,own,1,skilled,1,yes,yes,bad
>=200,31.79207352,existing paid,new car,3355.48722,<100,1<=X<4,3.82466973,female div/dep/mar,none,2.35066054,car,29.22731189,stores,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
<0,12,existing paid,radio/tv,709,<100,>=7,4,male single,none,4,real estate,57,,own,1,unskilled resident,1,none,yes,bad
0<=X<200,NA,delayed previously,new car,1209,<100,unemployed,4,male single,none,4,life insurance,47,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
<0,9,existing paid,radio/tv,1366,<100,<1,3,female div/dep/mar,none,4,life insurance,22,stores,rent,1,skilled,1,none,yes,bad
>=200,9.733059466,existing paid,other,738.646818,<100,1<=X<4,3.244353155,female div/dep/mar,none,2.488706311,no known property,31.17659102,bank,own,1,unskilled resident,1.244353155,none,yes,bad
0<=X<200,44.84382561,NA,new car,5969.542525,<100,1<=X<4,2.789043597,male div/sep,none,2.394521799,no known property,23.97260899,bank,own,1,skilled,1,none,NA,bad
<0,36,existing paid,furniture/equipment,1838.789306,<100,NA,4,female div/dep/mar,none,4,car,34.41878615,stores,for free,1,skilled,1,yes,yes,bad
<0,12.89673457,existing paid,other,NA,<100,1<=X<4,4,male single,none,2.032026235,life insurance,27.96797377,bank,own,1.967973765,skilled,1,yes,yes,bad
<0,24,all paid,furniture/equipment,3349,500<=X<10000,<1,4,male single,none,4,no known property,30,stores,for free,1,skilled,2,yes,yes,bad
no checking,12,existing paid,education,719,<100,>=7,4,male single,none,4,car,41,bank,own,1,unskilled resident,2,none,yes,bad
0<=X<200,18,existing paid,used car,12976,<100,unemployed,3,female div/dep/mar,none,4,no known property,38,stores,for free,1,high qualif/self emp/mgmt,1,NA,yes,bad
0<=X<200,12,NA,other,674.082878,100<=X<500,4<=X<7,3.984931274,male mar/wid,none,1.015068726,car,20.03767182,bank,own,1,skilled,1,none,yes,bad
<0,12,existing paid,new car,900,NA,1<=X<4,4,male mar/wid,none,2,car,23,stores,own,1,skilled,1,none,yes,bad
<0,24,existing paid,furniture/equipment,3234,<100,<1,4,female div/dep/mar,none,4,real estate,23,stores,rent,1,unskilled resident,1,yes,yes,bad
<0,14.91714968,critical/order existing credit,other,1271.08285,>=1000,1<=X<4,3,male mar/wid,none,3.917149684,no known property,38.94476646,stores,for free,1.972383228,skilled,1,none,yes,bad
<0,24,delayed previously,furniture/equipment,3124.64923,<100,4<=X<7,4,female div/dep/mar,none,1.043400783,life insurance,27.17360313,stores,own,1,skilled,1,none,yes,bad
>=200,16.01940292,critical/order existing credit,domestic appliance,2162.39801,<100,1<=X<4,4,male div/sep,none,1.669900487,car,28.33009951,stores,for free,1,skilled,1,none,yes,bad
0<=X<200,6.521005486,all paid,new car,931.694674,100<=X<500,4<=X<7,1.260502743,female div/dep/mar,none,1.086834248,life insurance,31.65266301,stores,own,1.173668495,unemp/unskilled non res,1,none,yes,bad
0<=X<200,12,existing paid,radio/tv,1331,<100,<1,2,male single,none,1,car,22,,own,1,skilled,1,none,yes,bad
<0,31.79728419,existing paid,radio/tv,2388.552942,500<=X<10000,<1,3.649773683,male single,none,1.350226317,life insurance,33.70045263,bank,own,1.350226317,unemp/unskilled non res,1,none,yes,bad
>=200,35.19331048,delayed previously,furniture/equipment,3349.941138,<100,1<=X<4,3.919331048,female div/dep/mar,none,2.053779301,NA,28.43023441,NA,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
<0,45,no credits/all paid,business,11816,<100,>=7,2,male single,none,4,car,29,stores,rent,2,skilled,1,none,yes,bad
<0,21.69638379,existing paid,furniture/equipment,1282.440426,no known savings,1<=X<4,4,female div/dep/mar,none,3.488085286,life insurance,29.95234114,stores,rent,1,skilled,1,none,yes,bad
<0,48,existing paid,furniture/equipment,3929.563211,<100,1<=X<4,4,male mar/wid,none,3.830965985,no known property,45.32386394,bank,for free,1,skilled,1.915482992,none,yes,bad
<0,23.4218337,existing paid,new car,1285.991142,no known savings,1<=X<4,4,female div/dep/mar,guarantor,4,life insurance,31.79351204,stores,own,1,skilled,1,none,yes,bad
<0,24,NA,new car,1193,<100,unemployed,1,female div/dep/mar,co applicant,4,no known property,29,stores,rent,2,unemp/unskilled non res,1,none,yes,bad
<0,42,existing paid,radio/tv,3965,<100,<1,4,male single,none,3,NA,34,stores,own,1,skilled,1,none,yes,bad
>=200,NA,NA,radio/tv,745,<100,1<=X<4,NA,female div/dep/mar,none,2,real estate,28,stores,own,1,unskilled resident,1,none,yes,bad
0<=X<200,48,existing paid,radio/tv,5951,<100,1<=X<4,2,female div/dep/mar,none,2,real estate,22,stores,own,1,skilled,1,none,yes,bad
0<=X<200,12,existing paid,radio/tv,1484,no known savings,1<=X<4,2,male mar/wid,none,1,real estate,25,stores,own,1,skilled,1,yes,yes,bad
<0,36,delayed previously,education,6887,<100,1<=X<4,4,male single,none,3,life insurance,29,,own,1,skilled,1,yes,yes,bad
>=200,24,existing paid,new car,947,<100,4<=X<7,4,male single,none,3,no known property,38,bank,for free,1,skilled,2,none,yes,bad
<0,19.53473006,all paid,furniture/equipment,1580.113564,<100,1<=X<4,4,male mar/wid,none,2.744211657,car,40.16317485,bank,own,1,skilled,1,none,yes,bad
<0,27,no credits/all paid,business,5293,<100,unemployed,2,NA,none,4,life insurance,50,,own,2,skilled,1,yes,yes,bad
<0,24,all paid,radio/tv,1546,<100,4<=X<7,4,male single,guarantor,4,car,24,bank,rent,1,unskilled resident,1,none,yes,bad
0<=X<200,22.20981021,critical/order existing credit,other,1217.044277,100<=X<500,<1,3.552452554,male mar/wid,none,3.552452554,no known property,39.19345986,bank,own,2,skilled,1.850817518,none,yes,bad
no checking,21,delayed previously,business,2580,500<=X<10000,<1,4,male single,none,2,real estate,41,bank,own,1,unskilled resident,2,none,yes,bad
<0,48,critical/order existing credit,used car,6143,<100,>=7,4,female div/dep/mar,none,4,no known property,58,,for free,2,unskilled resident,1,none,yes,bad
<0,12,delayed previously,new car,762.1498702,<100,4<=X<7,4,male mar/wid,none,2.082891322,no known property,26.58023925,NA,own,1,skilled,1.082891322,none,yes,bad
<0,9,existing paid,radio/tv,NA,<100,<1,3,female div/dep/mar,none,4,life insurance,22,stores,rent,1,skilled,1,none,yes,bad
<0,24,all paid,new car,1355.282108,no known savings,<1,4,male single,none,2.805864887,car,39.41759466,stores,own,1.194135113,high qualif/self emp/mgmt,1.194135113,none,yes,bad
<0,36,critical/order existing credit,used car,9629,<100,4<=X<7,4,male single,none,4,car,24,stores,own,2,skilled,1,yes,yes,bad
<0,12,existing paid,new car,1228,<100,1<=X<4,4,female div/dep/mar,none,2,real estate,24,stores,own,1,unskilled resident,1,none,yes,bad
<0,45,no credits/all paid,business,11816,<100,>=7,2,male single,none,4,car,29,stores,rent,2,skilled,1,none,NA,bad
<0,12,existing paid,used car,3386,<100,>=7,3,male single,none,4,no known property,35,NA,for free,1,skilled,1,yes,yes,bad
no checking,27,existing paid,new car,2570,<100,1<=X<4,3,female div/dep/mar,none,3,real estate,21,stores,rent,1,skilled,1,none,yes,bad
>=200,15.31702657,existing paid,new car,1982.947946,<100,4<=X<7,2,male div/sep,co applicant,2.842270209,life insurance,19.84227021,stores,rent,1.578864896,skilled,1.421135104,none,yes,bad
0<=X<200,30,existing paid,furniture/equipment,3441,100<=X<500,1<=X<4,2,female div/dep/mar,co applicant,4,car,21,stores,rent,1,NA,1,none,yes,bad
<0,18,existing paid,furniture/equipment,1131,<100,unemployed,NA,female div/dep/mar,none,2,car,33,stores,own,1,skilled,1,none,yes,bad
<0,12,existing paid,new car,1274,<100,<1,3,female div/dep/mar,none,1,real estate,37,stores,own,1,unskilled resident,1,none,yes,bad
no checking,18,delayed previously,furniture/equipment,1808,<100,4<=X<7,4,female div/dep/mar,none,NA,real estate,22,stores,own,NA,skilled,1,none,yes,bad
0<=X<200,12.43994961,existing paid,furniture/equipment,1227.676106,<100,1<=X<4,3.443994961,female div/dep/mar,none,NA,life insurance,23.55600504,stores,own,1,skilled,1,none,yes,bad
0<=X<200,11.84427129,NA,domestic appliance,1194.103819,<100,>=7,3.220763828,female div/dep/mar,none,4,life insurance,36.55847234,stores,for free,1,skilled,1.389618086,none,yes,bad
0<=X<200,9,existing paid,furniture/equipment,918,<100,1<=X<4,4,female div/dep/mar,none,1,life insurance,30,stores,own,1,skilled,1,none,yes,bad
0<=X<200,6,all paid,education,437.4645276,<100,<1,4,female div/dep/mar,none,2.595270349,life insurance,23.70236483,bank,own,1,skilled,1.702364825,none,yes,bad
<0,60,existing paid,business,7297,<100,>=7,4,male single,co applicant,4,no known property,36,stores,rent,1,skilled,1,none,yes,bad
<0,30,existing paid,furniture/equipment,6350,no known savings,>=7,4,male single,none,4,life insurance,31,stores,NA,1,skilled,1,none,yes,bad
0<=X<200,15.44020225,critical/order existing credit,furniture/equipment,NA,<100,4<=X<7,2.853265917,male single,none,2,no known property,33.55979775,stores,own,1.573367042,unskilled resident,1,none,yes,bad
0<=X<200,12,NA,new car,898.1162678,>=1000,1<=X<4,4,male mar/wid,none,2.313955365,car,25.82559829,bank,own,1,skilled,1.156977683,none,yes,bad
0<=X<200,21.74274551,existing paid,education,15240.04458,<100,<1,1.655947729,male single,none,4,no known property,64.72026135,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
0<=X<200,34.89399795,existing paid,furniture/equipment,3445.078332,500<=X<10000,<1,3.631332651,male mar/wid,guarantor,2.368667349,car,38.12899284,NA,own,1,skilled,1.815666326,none,yes,bad
<0,18.47252938,critical/order existing credit,new car,4857.563191,<100,4<=X<7,3,male single,guarantor,4,life insurance,48.39377448,stores,for free,2,skilled,1.539377448,NA,yes,bad
0<=X<200,24,existing paid,used car,12579,<100,>=7,4,female div/dep/mar,none,2,no known property,44,stores,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
0<=X<200,24,existing paid,new car,1369.64342,>=1000,1<=X<4,3.915213728,female div/dep/mar,none,4,no known property,25,stores,own,1,skilled,1,none,yes,bad
<0,6,existing paid,education,448,<100,<1,4,female div/dep/mar,none,4,life insurance,NA,stores,own,1,skilled,1,none,yes,bad
>=200,24.17268356,delayed previously,furniture/equipment,6804.208785,>=1000,1<=X<4,2.685853729,male single,none,3.657073136,car,54.62585229,stores,own,1.657073136,skilled,1,none,yes,bad
0<=X<200,15.57259353,existing paid,furniture/equipment,3956.90049,<100,1<=X<4,3.047716128,female div/dep/mar,none,2,car,29.33401289,stores,own,1,skilled,1.047716128,yes,yes,bad
0<=X<200,12.56494193,existing paid,radio/tv,1332.318198,<100,4<=X<7,2.188313977,male mar/wid,none,1.188313977,car,22.37662795,stores,own,1,skilled,1,none,yes,bad
0<=X<200,11.53151638,existing paid,furniture/equipment,1229.583816,<100,1<=X<4,3.353151638,female div/dep/mar,none,3.646848362,life insurance,23.64684836,stores,own,1,skilled,1,none,yes,bad
0<=X<200,12.43994961,existing paid,furniture/equipment,1227.676106,<100,1<=X<4,3.443994961,female div/dep/mar,none,3.556005039,life insurance,23.55600504,stores,own,1,skilled,1,none,yes,bad
0<=X<200,12,existing paid,new car,685,<100,4<=X<7,NA,male mar/wid,none,3,car,25,bank,own,1,unskilled resident,1,none,yes,bad
<0,24,existing paid,new car,1442,<100,4<=X<7,4,female div/dep/mar,none,4,car,23,stores,rent,2,NA,1,none,yes,bad
<0,42,delayed previously,radio/tv,4370,<100,4<=X<7,3,male single,none,2,life insurance,26,bank,own,2,skilled,2,yes,yes,bad
>=200,18.05447734,critical/order existing credit,furniture/equipment,2774.854727,500<=X<10000,4<=X<7,2.036318223,male mar/wid,none,2,car,31.54477335,bank,own,2,skilled,1,none,yes,bad
0<=X<200,12,existing paid,radio/tv,1484,no known savings,1<=X<4,NA,male mar/wid,none,1,real estate,25,stores,own,1,skilled,1,yes,yes,bad
<0,18,existing paid,radio/tv,1882,<100,1<=X<4,4,female div/dep/mar,none,NA,car,25,bank,rent,2,skilled,1,none,yes,bad
0<=X<200,11.84427129,critical/order existing credit,domestic appliance,1194.103819,<100,>=7,3.220763828,female div/dep/mar,none,4,life insurance,36.55847234,stores,for free,1,skilled,1.389618086,none,yes,bad
0<=X<200,16.38988653,all paid,new car,1453.270794,<100,1<=X<4,3.463295511,male mar/wid,none,3.194943266,no known property,30.12153429,stores,for free,1.731647755,unemp/unskilled non res,1.731647755,none,yes,bad
<0,12,existing paid,new car,2579,<100,<1,4,male single,none,1,real estate,33,stores,own,NA,unskilled resident,2,none,yes,bad
<0,48,no credits/all paid,furniture/equipment,7119,<100,1<=X<4,3,male single,none,4,no known property,53,NA,for free,2,skilled,NA,none,yes,bad
<0,42.98900557,existing paid,radio/tv,NA,NA,4<=X<7,3.505497217,female div/dep/mar,guarantor,2.670331478,car,30.65933704,stores,own,1.164834261,high qualif/self emp/mgmt,1,yes,yes,bad
>=200,11.27986623,delayed previously,education,1126.12058,500<=X<10000,1<=X<4,4,female div/dep/mar,none,3.759955409,car,29.72013377,stores,own,1.240044591,unemp/unskilled non res,1.240044591,none,yes,bad
<0,24,all paid,new car,1357.289241,no known savings,<1,4,male single,none,2.949231469,car,39.84769441,stores,own,1.050768531,high qualif/self emp/mgmt,1.050768531,none,yes,bad
<0,19.29705419,critical/order existing credit,other,3363.50075,500<=X<10000,<1,3.60808785,male single,none,4,no known property,31.95956075,stores,for free,1,skilled,1.60808785,yes,yes,bad
NA,38.19439197,delayed previously,furniture/equipment,5163.822122,<100,1<=X<4,3.634268006,male mar/wid,none,2.182865997,car,29.182866,stores,own,1,high qualif/self emp/mgmt,1,none,NA,bad
0<=X<200,48,existing paid,radio/tv,5951,<100,1<=X<4,2,female div/dep/mar,none,2,real estate,22,stores,own,1,skilled,1,none,yes,bad
0<=X<200,15,existing paid,new car,2631,100<=X<500,1<=X<4,2,female div/dep/mar,none,4,car,28,stores,rent,2,skilled,NA,yes,yes,bad
<0,36,delayed previously,business,2145,<100,4<=X<7,2,male single,none,1,car,24,NA,own,2,skilled,1,yes,yes,bad
0<=X<200,7.877006968,all paid,furniture/equipment,937.2566899,100<=X<500,<1,1.938503484,female div/dep/mar,none,1.938503484,car,30.43582753,stores,own,1.938503484,unemp/unskilled non res,1,none,yes,bad
0<=X<200,27,existing paid,business,3915,<100,1<=X<4,4,male single,none,2,NA,36,stores,own,1,skilled,2,yes,yes,bad
0<=X<200,12.68029711,delayed previously,other,1479.23792,>=1000,1<=X<4,2.226765702,male mar/wid,none,1.340148553,no known property,25.79367996,stores,for free,1.113382851,skilled,1.113382851,none,yes,bad
<0,48,no credits/all paid,used car,4605,<100,>=7,3,male single,none,4,no known property,24,stores,for free,2,skilled,2,none,yes,bad
>=200,31.79207352,existing paid,new car,3355.48722,<100,1<=X<4,3.82466973,female div/dep/mar,none,2.35066054,car,29.22731189,NA,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
<0,14.7729871,existing paid,new car,903.4662339,no known savings,1<=X<4,4,male div/sep,none,2,car,24.38649355,bank,own,1,skilled,1,none,yes,bad
<0,24,existing paid,radio/tv,1987,<100,1<=X<4,2,male single,none,4,real estate,21,stores,rent,1,unskilled resident,2,none,yes,bad
0<=X<200,40.40674235,existing paid,new car,14264.56825,<100,<1,4,male single,none,2,no known property,51.49157206,stores,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
<0,23.70945318,existing paid,radio/tv,1824.162187,<100,>=7,3.903151059,male mar/wid,none,2,car,29.51575529,stores,own,1.096848941,high qualif/self emp/mgmt,1.903151059,none,yes,bad
<0,24,all paid,radio/tv,1546,<100,NA,4,male single,guarantor,4,car,24,bank,rent,1,unskilled resident,1,none,yes,bad
<0,42.59153753,existing paid,radio/tv,1843.996474,<100,1<=X<4,3.899647397,male mar/wid,none,3.799294794,no known property,23.20070521,stores,for free,1.100352603,skilled,1,yes,yes,bad
<0,24,existing paid,NA,1938,<100,NA,4,male div/sep,none,3,life insurance,32,stores,own,1,skilled,1,none,yes,bad
NA,NA,delayed previously,other,9351.669142,<100,4<=X<7,NA,male single,NA,1.675998393,car,24,stores,own,1.225332798,skilled,1,yes,yes,bad
<0,23.70945318,existing paid,radio/tv,1824.162187,<100,>=7,NA,male mar/wid,none,2,NA,29.51575529,stores,own,1.096848941,high qualif/self emp/mgmt,1.903151059,none,yes,bad
<0,39.27946372,critical/order existing credit,repairs,11494.80081,100<=X<500,1<=X<4,2,male div/sep,guarantor,3.636644322,car,25.81677839,bank,own,2,skilled,1,none,yes,bad
<0,24,all paid,furniture/equipment,3552,<100,4<=X<7,3,male single,none,4,car,NA,bank,own,1,skilled,1,none,yes,bad
<0,41.19773607,all paid,domestic appliance,6854.802264,<100,<1,2.477714891,male div/sep,none,2.433144673,life insurance,58.82171913,bank,own,1.477714891,skilled,1,yes,yes,bad
<0,48,existing paid,furniture/equipment,3927.695539,<100,1<=X<4,4,NA,none,3.611239932,no known property,44.44495973,bank,for free,NA,skilled,1.805619966,none,yes,bad
>=200,31.8820975,existing paid,new car,6759.61179,>=1000,1<=X<4,2.462736583,male div/sep,none,3.074526833,car,50.87874642,stores,own,1.537263417,skilled,1,none,yes,bad
<0,22.63552445,existing paid,radio/tv,2317.91009,<100,4<=X<7,2.727192805,female div/dep/mar,none,3.363596403,life insurance,27.18157842,stores,own,1,unemp/unskilled non res,1,none,yes,bad
<0,18,existing paid,furniture/equipment,2473,<100,unemployed,4,male single,none,1,car,25,stores,own,1,unemp/unskilled non res,1,none,yes,bad
>=200,18.39778796,existing paid,business,4165.99447,<100,1<=X<4,2.044198662,male single,none,2,car,35.77900669,stores,own,1.977900669,skilled,1.977900669,none,yes,bad
>=200,10.02748601,existing paid,new car,1308.807598,>=1000,1<=X<4,3.986256996,male mar/wid,guarantor,3.958770988,car,26.97251399,stores,own,1,unemp/unskilled non res,1,none,yes,bad
